number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-SSOR
unsuccessful step! iteration = 2935 , error before = 19089.349608 , error next = 19089.349661 , error change = -0.000053 , lambda = 2.000000 , time consumption = 0.468621s

successful step! iteration = 2936 , error before = 19089.349608 , error next = 19089.349566 , error change = 0.000042 , lambda = 0.200000 , time consumption = 0.481158s

unsuccessful step! iteration = 2937 , error before = 19089.349566 , error next = 19089.349619 , error change = -0.000052 , lambda = 2.000000 , time consumption = 0.498149s

successful step! iteration = 2938 , error before = 19089.349566 , error next = 19089.349525 , error change = 0.000041 , lambda = 0.200000 , time consumption = 0.504934s

unsuccessful step! iteration = 2939 , error before = 19089.349525 , error next = 19089.349577 , error change = -0.000052 , lambda = 2.000000 , time consumption = 0.470479s

successful step! iteration = 2940 , error before = 19089.349525 , error next = 19089.349485 , error change = 0.000041 , lambda = 0.200000 , time consumption = 0.480684s

unsuccessful step! iteration = 2941 , error before = 19089.349485 , error next = 19089.349536 , error change = -0.000051 , lambda = 2.000000 , time consumption = 0.480512s

successful step! iteration = 2942 , error before = 19089.349485 , error next = 19089.349445 , error change = 0.000040 , lambda = 0.200000 , time consumption = 0.464274s

unsuccessful step! iteration = 2943 , error before = 19089.349445 , error next = 19089.349495 , error change = -0.000051 , lambda = 2.000000 , time consumption = 0.473095s

successful step! iteration = 2944 , error before = 19089.349445 , error next = 19089.349405 , error change = 0.000040 , lambda = 0.200000 , time consumption = 0.471349s

unsuccessful step! iteration = 2945 , error before = 19089.349405 , error next = 19089.349455 , error change = -0.000050 , lambda = 2.000000 , time consumption = 0.471333s

successful step! iteration = 2946 , error before = 19089.349405 , error next = 19089.349366 , error change = 0.000039 , lambda = 0.200000 , time consumption = 0.481245s

unsuccessful step! iteration = 2947 , error before = 19089.349366 , error next = 19089.349415 , error change = -0.000049 , lambda = 2.000000 , time consumption = 0.495197s

successful step! iteration = 2948 , error before = 19089.349366 , error next = 19089.349327 , error change = 0.000039 , lambda = 0.200000 , time consumption = 0.455738s

unsuccessful step! iteration = 2949 , error before = 19089.349327 , error next = 19089.349376 , error change = -0.000049 , lambda = 2.000000 , time consumption = 0.458351s

successful step! iteration = 2950 , error before = 19089.349327 , error next = 19089.349289 , error change = 0.000038 , lambda = 0.200000 , time consumption = 0.455764s

unsuccessful step! iteration = 2951 , error before = 19089.349289 , error next = 19089.349337 , error change = -0.000048 , lambda = 2.000000 , time consumption = 0.463009s

successful step! iteration = 2952 , error before = 19089.349289 , error next = 19089.349251 , error change = 0.000038 , lambda = 0.200000 , time consumption = 0.455911s

unsuccessful step! iteration = 2953 , error before = 19089.349251 , error next = 19089.349299 , error change = -0.000048 , lambda = 2.000000 , time consumption = 0.461937s

successful step! iteration = 2954 , error before = 19089.349251 , error next = 19089.349214 , error change = 0.000037 , lambda = 0.200000 , time consumption = 0.459064s

unsuccessful step! iteration = 2955 , error before = 19089.349214 , error next = 19089.349261 , error change = -0.000047 , lambda = 2.000000 , time consumption = 0.465875s

successful step! iteration = 2956 , error before = 19089.349214 , error next = 19089.349177 , error change = 0.000037 , lambda = 0.200000 , time consumption = 0.455152s

unsuccessful step! iteration = 2957 , error before = 19089.349177 , error next = 19089.349224 , error change = -0.000046 , lambda = 2.000000 , time consumption = 0.456271s

successful step! iteration = 2958 , error before = 19089.349177 , error next = 19089.349141 , error change = 0.000036 , lambda = 0.200000 , time consumption = 0.454057s

unsuccessful step! iteration = 2959 , error before = 19089.349141 , error next = 19089.349187 , error change = -0.000046 , lambda = 2.000000 , time consumption = 0.459044s

successful step! iteration = 2960 , error before = 19089.349141 , error next = 19089.349105 , error change = 0.000036 , lambda = 0.200000 , time consumption = 0.454451s

unsuccessful step! iteration = 2961 , error before = 19089.349105 , error next = 19089.349150 , error change = -0.000045 , lambda = 2.000000 , time consumption = 0.464840s

successful step! iteration = 2962 , error before = 19089.349105 , error next = 19089.349070 , error change = 0.000036 , lambda = 0.200000 , time consumption = 0.464123s

unsuccessful step! iteration = 2963 , error before = 19089.349070 , error next = 19089.349114 , error change = -0.000045 , lambda = 2.000000 , time consumption = 0.468460s

successful step! iteration = 2964 , error before = 19089.349070 , error next = 19089.349034 , error change = 0.000035 , lambda = 0.200000 , time consumption = 0.463549s

unsuccessful step! iteration = 2965 , error before = 19089.349034 , error next = 19089.349079 , error change = -0.000044 , lambda = 2.000000 , time consumption = 0.458506s

successful step! iteration = 2966 , error before = 19089.349034 , error next = 19089.349000 , error change = 0.000035 , lambda = 0.200000 , time consumption = 0.466323s

unsuccessful step! iteration = 2967 , error before = 19089.349000 , error next = 19089.349043 , error change = -0.000044 , lambda = 2.000000 , time consumption = 0.459231s

successful step! iteration = 2968 , error before = 19089.349000 , error next = 19089.348965 , error change = 0.000034 , lambda = 0.200000 , time consumption = 0.456495s

unsuccessful step! iteration = 2969 , error before = 19089.348965 , error next = 19089.349009 , error change = -0.000043 , lambda = 2.000000 , time consumption = 0.456082s

successful step! iteration = 2970 , error before = 19089.348965 , error next = 19089.348932 , error change = 0.000034 , lambda = 0.200000 , time consumption = 0.457484s

unsuccessful step! iteration = 2971 , error before = 19089.348932 , error next = 19089.348974 , error change = -0.000043 , lambda = 2.000000 , time consumption = 0.455463s

successful step! iteration = 2972 , error before = 19089.348932 , error next = 19089.348898 , error change = 0.000033 , lambda = 0.200000 , time consumption = 0.458098s

unsuccessful step! iteration = 2973 , error before = 19089.348898 , error next = 19089.348940 , error change = -0.000042 , lambda = 2.000000 , time consumption = 0.459261s

successful step! iteration = 2974 , error before = 19089.348898 , error next = 19089.348865 , error change = 0.000033 , lambda = 0.200000 , time consumption = 0.458965s

unsuccessful step! iteration = 2975 , error before = 19089.348865 , error next = 19089.348907 , error change = -0.000042 , lambda = 2.000000 , time consumption = 0.477543s

successful step! iteration = 2976 , error before = 19089.348865 , error next = 19089.348833 , error change = 0.000033 , lambda = 0.200000 , time consumption = 0.481298s

unsuccessful step! iteration = 2977 , error before = 19089.348833 , error next = 19089.348874 , error change = -0.000041 , lambda = 2.000000 , time consumption = 0.469414s

successful step! iteration = 2978 , error before = 19089.348833 , error next = 19089.348800 , error change = 0.000032 , lambda = 0.200000 , time consumption = 0.474565s

unsuccessful step! iteration = 2979 , error before = 19089.348800 , error next = 19089.348841 , error change = -0.000041 , lambda = 2.000000 , time consumption = 0.472021s

successful step! iteration = 2980 , error before = 19089.348800 , error next = 19089.348768 , error change = 0.000032 , lambda = 0.200000 , time consumption = 0.469666s

unsuccessful step! iteration = 2981 , error before = 19089.348768 , error next = 19089.348809 , error change = -0.000040 , lambda = 2.000000 , time consumption = 0.470934s

successful step! iteration = 2982 , error before = 19089.348768 , error next = 19089.348737 , error change = 0.000031 , lambda = 0.200000 , time consumption = 0.470782s

unsuccessful step! iteration = 2983 , error before = 19089.348737 , error next = 19089.348777 , error change = -0.000040 , lambda = 2.000000 , time consumption = 0.465469s

successful step! iteration = 2984 , error before = 19089.348737 , error next = 19089.348706 , error change = 0.000031 , lambda = 0.200000 , time consumption = 0.469908s

unsuccessful step! iteration = 2985 , error before = 19089.348706 , error next = 19089.348745 , error change = -0.000039 , lambda = 2.000000 , time consumption = 0.475433s

successful step! iteration = 2986 , error before = 19089.348706 , error next = 19089.348675 , error change = 0.000031 , lambda = 0.200000 , time consumption = 0.477019s

unsuccessful step! iteration = 2987 , error before = 19089.348675 , error next = 19089.348714 , error change = -0.000039 , lambda = 2.000000 , time consumption = 0.486733s

successful step! iteration = 2988 , error before = 19089.348675 , error next = 19089.348645 , error change = 0.000030 , lambda = 0.200000 , time consumption = 0.469772s

unsuccessful step! iteration = 2989 , error before = 19089.348645 , error next = 19089.348683 , error change = -0.000038 , lambda = 2.000000 , time consumption = 0.467897s

successful step! iteration = 2990 , error before = 19089.348645 , error next = 19089.348615 , error change = 0.000030 , lambda = 0.200000 , time consumption = 0.472215s

unsuccessful step! iteration = 2991 , error before = 19089.348615 , error next = 19089.348653 , error change = -0.000038 , lambda = 2.000000 , time consumption = 0.474656s

successful step! iteration = 2992 , error before = 19089.348615 , error next = 19089.348585 , error change = 0.000030 , lambda = 0.200000 , time consumption = 0.474219s

unsuccessful step! iteration = 2993 , error before = 19089.348585 , error next = 19089.348622 , error change = -0.000037 , lambda = 2.000000 , time consumption = 0.471958s

successful step! iteration = 2994 , error before = 19089.348585 , error next = 19089.348556 , error change = 0.000029 , lambda = 0.200000 , time consumption = 0.468831s

unsuccessful step! iteration = 2995 , error before = 19089.348556 , error next = 19089.348593 , error change = -0.000037 , lambda = 2.000000 , time consumption = 0.476183s

successful step! iteration = 2996 , error before = 19089.348556 , error next = 19089.348527 , error change = 0.000029 , lambda = 0.200000 , time consumption = 0.472911s

unsuccessful step! iteration = 2997 , error before = 19089.348527 , error next = 19089.348563 , error change = -0.000036 , lambda = 2.000000 , time consumption = 0.466537s

successful step! iteration = 2998 , error before = 19089.348527 , error next = 19089.348498 , error change = 0.000029 , lambda = 0.200000 , time consumption = 0.463439s

unsuccessful step! iteration = 2999 , error before = 19089.348498 , error next = 19089.348534 , error change = -0.000036 , lambda = 2.000000 , time consumption = 0.459551s

initial error = 45352606.330484 , final error = 19089.348498 , successful iterations/total iterations = 1500/3000 , total error change = 45333516.981986 , total time consumption = 1406.921438s , average steps = 32.334000
