number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: LDL
successful step! iteration = 1482 , error before = 19111.629203 , error next = 19111.362852 , error change = 0.266351 , lambda = 0.200000 , time consumption = 0.471119s

unsuccessful step! iteration = 1483 , error before = 19111.362852 , error next = 19111.698580 , error change = -0.335728 , lambda = 2.000000 , time consumption = 0.471717s

successful step! iteration = 1484 , error before = 19111.362852 , error next = 19111.099679 , error change = 0.263173 , lambda = 0.200000 , time consumption = 0.474143s

unsuccessful step! iteration = 1485 , error before = 19111.099679 , error next = 19111.431402 , error change = -0.331723 , lambda = 2.000000 , time consumption = 0.466847s

successful step! iteration = 1486 , error before = 19111.099679 , error next = 19110.839645 , error change = 0.260034 , lambda = 0.200000 , time consumption = 0.472989s

unsuccessful step! iteration = 1487 , error before = 19110.839645 , error next = 19111.167411 , error change = -0.327765 , lambda = 2.000000 , time consumption = 0.459925s

successful step! iteration = 1488 , error before = 19110.839645 , error next = 19110.582714 , error change = 0.256931 , lambda = 0.200000 , time consumption = 0.455151s

unsuccessful step! iteration = 1489 , error before = 19110.582714 , error next = 19110.906569 , error change = -0.323855 , lambda = 2.000000 , time consumption = 0.466573s

successful step! iteration = 1490 , error before = 19110.582714 , error next = 19110.328848 , error change = 0.253866 , lambda = 0.200000 , time consumption = 0.463833s

unsuccessful step! iteration = 1491 , error before = 19110.328848 , error next = 19110.648840 , error change = -0.319991 , lambda = 2.000000 , time consumption = 0.462024s

successful step! iteration = 1492 , error before = 19110.328848 , error next = 19110.078011 , error change = 0.250837 , lambda = 0.200000 , time consumption = 0.463266s

unsuccessful step! iteration = 1493 , error before = 19110.078011 , error next = 19110.394185 , error change = -0.316174 , lambda = 2.000000 , time consumption = 0.498907s

successful step! iteration = 1494 , error before = 19110.078011 , error next = 19109.830167 , error change = 0.247844 , lambda = 0.200000 , time consumption = 0.474894s

unsuccessful step! iteration = 1495 , error before = 19109.830167 , error next = 19110.142568 , error change = -0.312401 , lambda = 2.000000 , time consumption = 0.468638s

successful step! iteration = 1496 , error before = 19109.830167 , error next = 19109.585280 , error change = 0.244887 , lambda = 0.200000 , time consumption = 0.466952s

unsuccessful step! iteration = 1497 , error before = 19109.585280 , error next = 19109.893954 , error change = -0.308674 , lambda = 2.000000 , time consumption = 0.474273s

successful step! iteration = 1498 , error before = 19109.585280 , error next = 19109.343316 , error change = 0.241965 , lambda = 0.200000 , time consumption = 0.463588s

unsuccessful step! iteration = 1499 , error before = 19109.343316 , error next = 19109.648306 , error change = -0.304991 , lambda = 2.000000 , time consumption = 0.467105s

successful step! iteration = 1500 , error before = 19109.343316 , error next = 19109.104238 , error change = 0.239077 , lambda = 0.200000 , time consumption = 0.481284s

unsuccessful step! iteration = 1501 , error before = 19109.104238 , error next = 19109.405589 , error change = -0.301351 , lambda = 2.000000 , time consumption = 0.467228s

successful step! iteration = 1502 , error before = 19109.104238 , error next = 19108.868014 , error change = 0.236224 , lambda = 0.200000 , time consumption = 0.471122s

unsuccessful step! iteration = 1503 , error before = 19108.868014 , error next = 19109.165769 , error change = -0.297755 , lambda = 2.000000 , time consumption = 0.460379s

successful step! iteration = 1504 , error before = 19108.868014 , error next = 19108.634608 , error change = 0.233405 , lambda = 0.200000 , time consumption = 0.460153s

unsuccessful step! iteration = 1505 , error before = 19108.634608 , error next = 19108.928810 , error change = -0.294202 , lambda = 2.000000 , time consumption = 0.466272s

successful step! iteration = 1506 , error before = 19108.634608 , error next = 19108.403988 , error change = 0.230620 , lambda = 0.200000 , time consumption = 0.464002s

unsuccessful step! iteration = 1507 , error before = 19108.403988 , error next = 19108.694679 , error change = -0.290691 , lambda = 2.000000 , time consumption = 0.471395s

successful step! iteration = 1508 , error before = 19108.403988 , error next = 19108.176120 , error change = 0.227868 , lambda = 0.200000 , time consumption = 0.461073s

unsuccessful step! iteration = 1509 , error before = 19108.176120 , error next = 19108.463342 , error change = -0.287222 , lambda = 2.000000 , time consumption = 0.461449s

successful step! iteration = 1510 , error before = 19108.176120 , error next = 19107.950972 , error change = 0.225148 , lambda = 0.200000 , time consumption = 0.476212s

unsuccessful step! iteration = 1511 , error before = 19107.950972 , error next = 19108.234766 , error change = -0.283794 , lambda = 2.000000 , time consumption = 0.471054s

successful step! iteration = 1512 , error before = 19107.950972 , error next = 19107.728511 , error change = 0.222461 , lambda = 0.200000 , time consumption = 0.465189s

unsuccessful step! iteration = 1513 , error before = 19107.728511 , error next = 19108.008918 , error change = -0.280407 , lambda = 2.000000 , time consumption = 0.470872s

successful step! iteration = 1514 , error before = 19107.728511 , error next = 19107.508706 , error change = 0.219806 , lambda = 0.200000 , time consumption = 0.465653s

unsuccessful step! iteration = 1515 , error before = 19107.508706 , error next = 19107.785766 , error change = -0.277060 , lambda = 2.000000 , time consumption = 0.467101s

successful step! iteration = 1516 , error before = 19107.508706 , error next = 19107.291523 , error change = 0.217182 , lambda = 0.200000 , time consumption = 0.465431s

unsuccessful step! iteration = 1517 , error before = 19107.291523 , error next = 19107.565276 , error change = -0.273753 , lambda = 2.000000 , time consumption = 0.465157s

successful step! iteration = 1518 , error before = 19107.291523 , error next = 19107.076934 , error change = 0.214590 , lambda = 0.200000 , time consumption = 0.465070s

unsuccessful step! iteration = 1519 , error before = 19107.076934 , error next = 19107.347419 , error change = -0.270485 , lambda = 2.000000 , time consumption = 0.468239s

successful step! iteration = 1520 , error before = 19107.076934 , error next = 19106.864905 , error change = 0.212028 , lambda = 0.200000 , time consumption = 0.462889s

unsuccessful step! iteration = 1521 , error before = 19106.864905 , error next = 19107.132162 , error change = -0.267257 , lambda = 2.000000 , time consumption = 0.463097s

successful step! iteration = 1522 , error before = 19106.864905 , error next = 19106.655408 , error change = 0.209497 , lambda = 0.200000 , time consumption = 0.469173s

unsuccessful step! iteration = 1523 , error before = 19106.655408 , error next = 19106.919475 , error change = -0.264067 , lambda = 2.000000 , time consumption = 0.467929s

successful step! iteration = 1524 , error before = 19106.655408 , error next = 19106.448412 , error change = 0.206996 , lambda = 0.200000 , time consumption = 0.469534s

unsuccessful step! iteration = 1525 , error before = 19106.448412 , error next = 19106.709326 , error change = -0.260914 , lambda = 2.000000 , time consumption = 0.470347s

successful step! iteration = 1526 , error before = 19106.448412 , error next = 19106.243886 , error change = 0.204525 , lambda = 0.200000 , time consumption = 0.465130s

unsuccessful step! iteration = 1527 , error before = 19106.243886 , error next = 19106.501686 , error change = -0.257800 , lambda = 2.000000 , time consumption = 0.471621s

successful step! iteration = 1528 , error before = 19106.243886 , error next = 19106.041803 , error change = 0.202084 , lambda = 0.200000 , time consumption = 0.472515s

unsuccessful step! iteration = 1529 , error before = 19106.041803 , error next = 19106.296525 , error change = -0.254722 , lambda = 2.000000 , time consumption = 0.472434s

successful step! iteration = 1530 , error before = 19106.041803 , error next = 19105.842132 , error change = 0.199671 , lambda = 0.200000 , time consumption = 0.466225s

unsuccessful step! iteration = 1531 , error before = 19105.842132 , error next = 19106.093813 , error change = -0.251681 , lambda = 2.000000 , time consumption = 0.464873s

successful step! iteration = 1532 , error before = 19105.842132 , error next = 19105.644845 , error change = 0.197287 , lambda = 0.200000 , time consumption = 0.469408s

unsuccessful step! iteration = 1533 , error before = 19105.644845 , error next = 19105.893521 , error change = -0.248676 , lambda = 2.000000 , time consumption = 0.465612s

successful step! iteration = 1534 , error before = 19105.644845 , error next = 19105.449913 , error change = 0.194932 , lambda = 0.200000 , time consumption = 0.463943s

unsuccessful step! iteration = 1535 , error before = 19105.449913 , error next = 19105.695620 , error change = -0.245707 , lambda = 2.000000 , time consumption = 0.469159s

successful step! iteration = 1536 , error before = 19105.449913 , error next = 19105.257309 , error change = 0.192604 , lambda = 0.200000 , time consumption = 0.469870s

unsuccessful step! iteration = 1537 , error before = 19105.257309 , error next = 19105.500082 , error change = -0.242773 , lambda = 2.000000 , time consumption = 0.467791s

successful step! iteration = 1538 , error before = 19105.257309 , error next = 19105.067004 , error change = 0.190304 , lambda = 0.200000 , time consumption = 0.474914s

unsuccessful step! iteration = 1539 , error before = 19105.067004 , error next = 19105.306879 , error change = -0.239875 , lambda = 2.000000 , time consumption = 0.466411s

successful step! iteration = 1540 , error before = 19105.067004 , error next = 19104.878972 , error change = 0.188032 , lambda = 0.200000 , time consumption = 0.471446s

unsuccessful step! iteration = 1541 , error before = 19104.878972 , error next = 19105.115983 , error change = -0.237011 , lambda = 2.000000 , time consumption = 0.467258s

successful step! iteration = 1542 , error before = 19104.878972 , error next = 19104.693185 , error change = 0.185787 , lambda = 0.200000 , time consumption = 0.479233s

unsuccessful step! iteration = 1543 , error before = 19104.693185 , error next = 19104.927366 , error change = -0.234180 , lambda = 2.000000 , time consumption = 0.460580s

successful step! iteration = 1544 , error before = 19104.693185 , error next = 19104.509617 , error change = 0.183568 , lambda = 0.200000 , time consumption = 0.482341s

unsuccessful step! iteration = 1545 , error before = 19104.509617 , error next = 19104.741001 , error change = -0.231384 , lambda = 2.000000 , time consumption = 0.464930s

successful step! iteration = 1546 , error before = 19104.509617 , error next = 19104.328241 , error change = 0.181376 , lambda = 0.200000 , time consumption = 0.466288s

unsuccessful step! iteration = 1547 , error before = 19104.328241 , error next = 19104.556862 , error change = -0.228621 , lambda = 2.000000 , time consumption = 0.466751s

successful step! iteration = 1548 , error before = 19104.328241 , error next = 19104.149030 , error change = 0.179210 , lambda = 0.200000 , time consumption = 0.466236s
